Time (s)	jump_z_t (m)	Displacement field, Z-component (m)	w-jump_z_t (m)
2.0820	0.076941	0.076941	-4.4479E-10
2.0840	0.077800	0.077800	2.7217E-9
2.0860	0.078658	0.078658	3.9922E-10
2.0880	0.079516	0.079516	1.2371E-8
2.0900	0.080374	0.080374	-6.0405E-10
2.0920	0.081231	0.081231	3.0538E-8
2.0940	0.082088	0.082088	-3.3663E-10
2.0960	0.082944	0.082944	2.5744E-8
2.0980	0.083799	0.083799	4.3123E-9
2.1000	0.084653	0.084653	1.6992E-8
2.1020	0.085507	0.085507	1.6440E-8
2.1040	0.086358	0.086358	7.4053E-9
2.1060	0.087209	0.087209	3.9124E-8
2.1080	0.088058	0.088058	9.5607E-11
2.1100	0.088906	0.088906	-4.5345E-8
2.1120	0.089751	0.089752	1.7148E-7
2.1140	0.090596	0.090596	2.0149E-7
2.1160	0.091438	0.091438	2.1709E-7
2.1180	0.092278	0.092278	2.1829E-9
2.1200	0.093116	0.093116	-7.1588E-9
2.1220	0.093951	0.093952	2.8355E-7
2.1240	0.094785	0.094785	3.1514E-7
2.1260	0.095616	0.095616	8.0353E-8
2.1280	0.096444	0.096444	-5.4819E-9
2.1300	0.097269	0.097269	1.2280E-7
2.1320	0.098092	0.098093	5.6711E-7
2.1340	0.098912	0.098912	2.0541E-7
2.1360	0.099728	0.099728	2.4918E-10
2.1380	0.10054	0.10054	4.9109E-8
2.1400	0.10135	0.10135	3.7454E-7
2.1420	0.10216	0.10216	4.5703E-7
2.1440	0.10296	0.10296	7.8048E-8
2.1460	0.10376	0.10376	-1.1757E-8
2.1480	0.10456	0.10456	2.1762E-7
2.1500	0.10535	0.10535	7.8871E-7
2.1520	0.10614	0.10614	2.4892E-7
2.1540	0.10692	0.10692	-7.3759E-9
2.1560	0.10770	0.10770	7.8446E-8
2.1580	0.10848	0.10848	5.4013E-7
2.1600	0.10925	0.10925	5.2825E-7
2.1620	0.11002	0.11002	7.8140E-8
2.1640	0.11078	0.11078	-5.6048E-9
2.1660	0.11154	0.11154	3.0848E-7
2.1680	0.11229	0.11229	9.4237E-7
2.1700	0.11304	0.11304	2.6704E-7
2.1720	0.11378	0.11378	-1.6016E-8
2.1740	0.11452	0.11452	1.2323E-7
2.1760	0.11525	0.11525	7.1448E-7
2.1780	0.11598	0.11598	5.8045E-7
2.1800	0.11670	0.11670	6.9779E-8
2.1820	0.11741	0.11741	5.0799E-9
2.1840	0.11812	0.11812	4.1557E-7
2.1860	0.11883	0.11883	1.0368E-6
2.1880	0.11953	0.11953	2.7195E-7
2.1900	0.12022	0.12022	-2.3901E-8
2.1920	0.12091	0.12091	1.7770E-7
2.1940	0.12159	0.12159	9.0459E-7
2.1960	0.12227	0.12227	6.0936E-7
2.1980	0.12293	0.12293	5.6336E-8
2.2000	0.12360	0.12360	2.2599E-8
