% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 16:17"
% Table,Table 5 - Volume Integration 2
% Time (s),tumor_mask (m^3),tumor mask volume (m^3),tumor disp integral (m^3)
1.4949999999999999,4.18102352395752E-6,4.18102352395752E-6,2.880341071533647E-5
1.5,4.18102352395752E-6,4.18102352395752E-6,2.679550491858948E-5
1.505,4.18102352395752E-6,4.18102352395752E-6,2.497001435166689E-5
1.51,4.18102352395752E-6,4.18102352395752E-6,2.340797593496124E-5
1.515,4.18102352395752E-6,4.18102352395752E-6,2.2145151125783233E-5
1.52,4.18102352395752E-6,4.18102352395752E-6,2.116841798987963E-5
1.525,4.18102352395752E-6,4.18102352395752E-6,2.0466935535542193E-5
1.53,4.18102352395752E-6,4.18102352395752E-6,2.0044979119719147E-5
1.535,4.18102352395752E-6,4.18102352395752E-6,1.9829794740706993E-5
1.54,4.18102352395752E-6,4.18102352395752E-6,1.9760421900624033E-5
1.545,4.18102352395752E-6,4.18102352395752E-6,1.9773964913665355E-5
1.55,4.18102352395752E-6,4.18102352395752E-6,1.9785699939133787E-5
1.555,4.18102352395752E-6,4.18102352395752E-6,1.9705659997799707E-5
1.56,4.18102352395752E-6,4.18102352395752E-6,1.9455367051311887E-5
1.565,4.18102352395752E-6,4.18102352395752E-6,1.894618861722439E-5
1.5699999999999998,4.18102352395752E-6,4.18102352395752E-6,1.8097104613432466E-5
1.575,4.18102352395752E-6,4.18102352395752E-6,1.6909079376827204E-5
1.58,4.18102352395752E-6,4.18102352395752E-6,1.537688981963346E-5
1.585,4.18102352395752E-6,4.18102352395752E-6,1.3490947854230706E-5
1.5899999999999999,4.18102352395752E-6,4.18102352395752E-6,1.1322323707034772E-5
1.595,4.18102352395752E-6,4.18102352395752E-6,8.968204973747713E-6
1.6,4.18102352395752E-6,4.18102352395752E-6,6.520458252001992E-6
1.605,4.18102352395752E-6,4.18102352395752E-6,4.095256963604626E-6
1.6099999999999999,4.18102352395752E-6,4.18102352395752E-6,1.79844711485145E-6
1.615,4.18102352395752E-6,4.18102352395752E-6,3.057934495098991E-7
1.6199999999999999,4.18102352395752E-6,4.18102352395752E-6,1.9831599580390424E-6
1.625,4.18102352395752E-6,4.18102352395752E-6,3.3244251023289483E-6
1.63,4.18102352395752E-6,4.18102352395752E-6,4.258509800726403E-6
1.635,4.18102352395752E-6,4.18102352395752E-6,4.786260292769458E-6
1.64,4.18102352395752E-6,4.18102352395752E-6,4.936630789798308E-6
1.645,4.18102352395752E-6,4.18102352395752E-6,4.761804796863494E-6
1.65,4.18102352395752E-6,4.18102352395752E-6,4.3297055959613895E-6
1.655,4.18102352395752E-6,4.18102352395752E-6,3.715182625125262E-6
1.66,4.18102352395752E-6,4.18102352395752E-6,2.993490761893702E-6
1.665,4.18102352395752E-6,4.18102352395752E-6,2.239639406063025E-6
1.67,4.18102352395752E-6,4.18102352395752E-6,1.5308311565455292E-6
1.675,4.18102352395752E-6,4.18102352395752E-6,9.459086757094683E-7
1.68,4.18102352395752E-6,4.18102352395752E-6,5.600654618058685E-7
1.685,4.18102352395752E-6,4.18102352395752E-6,4.3696386133720275E-7
1.69,4.18102352395752E-6,4.18102352395752E-6,6.125500211496707E-7
1.6949999999999998,4.18102352395752E-6,4.18102352395752E-6,1.0962510917966761E-6
1.7,4.18102352395752E-6,4.18102352395752E-6,1.8633660006299904E-6
1.705,4.18102352395752E-6,4.18102352395752E-6,2.849237095435779E-6
1.71,4.18102352395752E-6,4.18102352395752E-6,3.961534830307913E-6
1.7149999999999999,4.18102352395752E-6,4.18102352395752E-6,5.094204591702434E-6
1.72,4.18102352395752E-6,4.18102352395752E-6,6.139748028449339E-6
1.725,4.18102352395752E-6,4.18102352395752E-6,7.001114950765434E-6
1.73,4.18102352395752E-6,4.18102352395752E-6,7.602907736516111E-6
1.7349999999999999,4.18102352395752E-6,4.18102352395752E-6,7.895394794606262E-6
1.74,4.18102352395752E-6,4.18102352395752E-6,7.848518405417049E-6
1.745,4.18102352395752E-6,4.18102352395752E-6,7.443874189643805E-6
1.75,4.18102352395752E-6,4.18102352395752E-6,6.673655863719788E-6
1.755,4.18102352395752E-6,4.18102352395752E-6,5.5467947384445205E-6
1.76,4.18102352395752E-6,4.18102352395752E-6,4.092002236335333E-6
1.7650000000000001,4.18102352395752E-6,4.18102352395752E-6,2.3663712181807876E-6
1.77,4.18102352395752E-6,4.18102352395752E-6,4.4523357307000273E-7
1.775,4.18102352395752E-6,4.18102352395752E-6,1.5902501493898896E-6
1.7799999999999998,4.18102352395752E-6,4.18102352395752E-6,3.648819984829844E-6
1.785,4.18102352395752E-6,4.18102352395752E-6,5.651907881813187E-6
1.79,4.18102352395752E-6,4.18102352395752E-6,7.535024841069269E-6
1.795,4.18102352395752E-6,4.18102352395752E-6,9.250429226395286E-6
1.7999999999999998,4.18102352395752E-6,4.18102352395752E-6,1.0760495101129374E-5
1.805,4.18102352395752E-6,4.18102352395752E-6,1.2030274072417007E-5
1.81,4.18102352395752E-6,4.18102352395752E-6,1.3026877610549962E-5
1.815,4.18102352395752E-6,4.18102352395752E-6,1.372705735260286E-5
1.8199999999999998,4.18102352395752E-6,4.18102352395752E-6,1.4127997734313204E-5
1.825,4.18102352395752E-6,4.18102352395752E-6,1.425661742069713E-5
