"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa","P95DispMm","P95AbsWMm"
"simple_softskin_control","1.655","2776","0.909128519012634","1.58151057517891","0.899841383451668","0.899841383451668","0","1.52710665411302","0.124826886054273","0.518389623517465","1.5015926282591","1.4892603736771"
"simple_softskin_control","1.66","2776","1.93581697194845","3.26468502163638","1.91662588422953","1.91662588422953","0","3.26468118579137","0.264862354163329","1.09066304460162","3.23597941509719","3.23473031800128"
"simple_softskin_control","1.665","2776","2.95547115526585","4.99985859334399","2.92399649709535","2.92399649709535","0","4.99985620933168","0.406198711823481","1.65683372516093","4.96543590793583","4.96530740256516"
"simple_softskin_control","1.67","2776","3.94607554363241","6.68628367550608","3.90271210672077","3.90271210672077","0","6.68628196324295","0.544020288921631","2.20645867743032","6.63927108207657","6.63915072546189"
"simple_softskin_control","1.675","2776","4.89468185021317","8.29944831929628","4.84042807157927","4.84042807157927","0","8.29944680332218","0.676117188602424","2.73322630617166","8.23226547988136","8.23199732925999"
"simple_softskin_control","1.68","2776","5.77453551780149","9.79851088586163","5.71100683369771","5.71100683369771","0","9.79850982503953","0.798424268703307","3.22336162759547","9.69946285539852","9.69761526973616"
"simple_softskin_control","1.685","2776","6.5804910439507","11.1620471422941","6.50918194456492","6.50918194456492","0","11.162046221025","0.910115687170844","3.67457259331458","11.0374081067006","11.0361954727622"
"simple_softskin_control","1.69","2776","7.27875637397493","12.3298894457623","7.20147771204197","7.20147771204197","0","12.329888449241","1.00638175614186","4.06968990036999","12.1855360544491","12.1844233773954"
"simple_softskin_control","1.695","2776","7.87102666694417","13.3099068612943","7.78915375427959","7.78915375427959","0","13.3099059467681","1.08775023571498","4.40978494004817","13.1574782386943","13.15655818657"
"simple_softskin_control","1.7","2776","8.32766536754226","14.0569451429306","8.24255967283808","8.24255967283808","0","14.0569446383889","1.15054430030949","4.67742167194648","13.9052538131164","13.9016576362653"
"simple_softskin_control","1.705","2776","8.65108529651818","14.581117965085","8.56378570056983","8.56378570056983","0","14.581117807602","1.19544279163561","4.86930964045166","14.4288872514138","14.4252607131627"
"simple_softskin_control","1.71","2776","8.82391211965822","14.8555504425885","8.7354668983695","8.7354668983695","0","14.8555503308115","1.22005506353959","4.971082471037","14.7067747777934","14.7032630596534"
"simple_softskin_control","1.715","2776","8.84511794035169","14.8785166155716","8.75662553494856","8.75662553494856","0","14.8785163809607","1.22392523688764","4.97909751939132","14.7376738600467","14.7344326513281"
"simple_softskin_control","1.72","2776","8.71122089169251","14.6444256728201","8.62395950014619","8.62395950014619","0","14.6444252799361","1.20628414502144","4.88943270919264","14.5140182449029","14.5111798557586"
"simple_softskin_control","1.725","2776","8.41607528476287","14.1437664328859","8.33157901499129","8.33157901499129","0","14.1437659304073","1.16598585135852","4.69778793887368","14.0269352851695","14.0263142227366"
"simple_softskin_control","1.73","2776","7.9731687478643","13.3994066914017","7.8929450020113","7.8929450020113","0","13.3994063126283","1.10468820176672","4.41526727669378","13.2992744333173","13.2978095615906"
"simple_softskin_control","1.735","2776","7.37496443473534","12.4034317484928","7.30063660899911","7.30063660899911","0","12.4034316061762","1.02124774560964","4.04371609253462","12.3219705195855","12.3214643169775"
"simple_softskin_control","1.74","2776","6.65182782856609","11.2089291497524","6.58463923026955","6.58463923026955","0","11.2089289123753","0.920275885438202","3.60604090982376","11.1419015265371","11.1417422232793"
"simple_softskin_control","1.745","2776","5.79736970002336","9.80550765344137","5.73855988046692","5.73855988046692","0","9.80550686435283","0.801440566681261","3.10332947498338","9.74968934921898","9.74958719398628"
"simple_softskin_control","1.75","2776","4.84872989178002","8.24967916372966","4.79906028547895","4.79906028547895","0","8.24967617901897","0.670276717908891","2.55490605416686","8.2025138836716","8.20244871617499"
"simple_softskin_control","1.755","2776","3.80648299487578","6.54936522893586","3.7666201496807","3.7666201496807","0","6.54935862603339","0.527268314952449","1.96054212816235","6.50421545272367","6.50411432670885"
"simple_softskin_control","1.76","2776","2.69979744392774","4.73930520520251","2.66994816372353","2.66994816372353","0","4.73929314820738","0.37635317920029","1.33534138748283","4.69824357235094","4.69798997190644"
"simple_softskin_control","1.765","2776","1.53762592332679","2.82783934112791","1.51733806461115","1.51733806461115","0","2.82781940960564","0.218681426736213","0.685720162570022","2.79214962669205","2.79211276582951"
"simple_softskin_control","1.77","2776","0.358965641943675","0.845415345056039","0.329245695429282","0.336198798141882","-0.0413377083071962","0.845360706721668","0.0633613763352029","0.213423735026518","0.817737608059173","0.816623995210771"
"simple_softskin_control","1.775","2776","0.890205036141526","1.37617827291852","-0.880142108074886","0.880142108074886","-1.37615875077477","0","0.131429875251539","0.646174272998241","1.26945831592415","1.26636716973214"
