time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
1.21,5.213726926301027e-15,5.37463189746335e-15,1.0408340855860843e-14,1.2576745200831851e-14,1.431146867680866e-14,-5.204170427930421e-15,1.431146867680866e-14,5.951450159966388e-15,1.2576745200831851e-14,1.734723475976807e-14,7.32832043474333e-15,1.4236252821876073e-14,1.9607955578720354e-14,2.689939317904185e-13,1.217063072544988e-12,1.3588760339189321e-11
1.215,-4.287600322045856e-15,4.32879428321681e-15,8.673617379884035e-15,1.1275702593849246e-14,1.5612511283791264e-14,-1.5612511283791264e-14,4.119968255444917e-15,4.561010935859318e-15,1.0842021724855044e-14,1.8214596497756474e-14,6.13769555806475e-15,1.2835438080028306e-14,1.8042440261040524e-14,2.9837413806179315e-13,1.312953656906754e-12,9.377799869980663e-12
1.22,5.100434593419193e-16,1.5132969950212213e-15,4.336808689942018e-15,6.5052130349130266e-15,8.673617379884035e-15,-8.673617379884035e-15,8.673617379884035e-15,1.977935912525625e-15,6.5052130349130266e-15,1.214306433183765e-14,4.306094959370734e-15,9.674434547786473e-15,1.5249756484568178e-14,1.7653582846507997e-13,7.446601557603567e-13,1.0550138540565967e-11
1.225,1.7655161407453288e-15,2.08496601237789e-15,5.204170427930421e-15,7.806255641895632e-15,1.0842021724855044e-14,-7.37257477290143e-15,1.0842021724855044e-14,2.488015130514394e-15,6.938893903907228e-15,1.3877787807814457e-14,4.613665610718354e-15,9.291587575084586e-15,1.7202380260065165e-14,3.612798597371412e-13,1.5619434634572813e-12,1.623538992134854e-11
1.23,-2.5209756632481843e-15,2.5850640980647127e-15,4.7704895589362195e-15,6.071532165918825e-15,8.673617379884035e-15,-8.673617379884035e-15,4.7704895589362195e-15,2.791977038230142e-15,5.637851296924623e-15,1.0408340855860843e-14,4.132232186197467e-15,7.768416283191844e-15,1.1033322027891513e-14,2.2284063307607857e-13,9.160658009932375e-13,1.0394614946562797e-11
1.235,-2.3628509268784316e-15,2.4514161554636382e-15,4.7704895589362195e-15,5.637851296924623e-15,6.938893903907228e-15,-6.938893903907228e-15,4.9060148304969076e-15,2.5847735590590583e-15,5.204170427930421e-15,8.239936510889834e-15,3.8305950897078e-15,6.819278298949948e-15,9.171607042653043e-15,2.2163238702522855e-13,9.544692147755993e-13,8.862116374075413e-12
1.24,-2.0722404039302224e-15,2.281705617514555e-15,4.7704895589362195e-15,6.071532165918825e-15,8.239936510889834e-15,-8.239936510889834e-15,5.2583805365546965e-15,2.5529573030244612e-15,5.301748623454077e-15,9.540979117872439e-15,4.3355318015279574e-15,7.154247297257874e-15,1.036590269145265e-14,3.559680231611528e-13,1.5349314708146249e-12,1.1441898095654324e-11
1.245,-2.615284624483638e-15,2.8649783157739792e-15,6.071532165918825e-15,7.37257477290143e-15,8.673617379884035e-15,-8.673617379884035e-15,5.149960319306146e-15,3.2928796934710846e-15,7.37257477290143e-15,1.0842021724855044e-14,5.4048899794001906e-15,9.338588975851216e-15,1.2832117855723818e-14,1.880056474031534e-13,7.697622095292891e-13,7.495145837310701e-12
1.25,-7.25900531050651e-18,2.319091282796006e-15,6.071532165918825e-15,6.938893903907228e-15,9.540979117872439e-15,-9.540979117872439e-15,8.239936510889834e-15,2.8052747850274057e-15,8.673617379884035e-15,1.3010426069826053e-14,6.2646370782013495e-15,1.16049226704865e-14,1.664629938813242e-14,3.421300768343761e-13,1.4424244909605456e-12,1.2752877864841139e-11
1.255,-7.716707050522056e-15,7.726344005848073e-15,1.2576745200831851e-14,1.5178830414797062e-14,1.734723475976807e-14,-1.734723475976807e-14,3.7947076036992655e-15,7.996831350281565e-15,1.3877787807814457e-14,2.0383000842727483e-14,9.84373766544658e-15,1.5296948291987176e-14,2.0997724188740637e-14,2.666769578543411e-13,1.0835378816409493e-12,9.66247171163559e-12
1.26,6.1310032654608745e-15,6.140479306876068e-15,1.1709383462843448e-14,1.431146867680866e-14,1.6046192152785466e-14,-4.336808689942018e-15,1.6046192152785466e-14,6.243178140628653e-15,1.3877787807814457e-14,2.211772431870429e-14,8.413601757035897e-15,1.5084254960077814e-14,2.3041273155044578e-14,2.2672231491805536e-13,9.633481568016572e-13,1.2912096281070261e-11
1.265,3.0464668580292106e-15,3.158266267405066e-15,7.37257477290143e-15,9.974659986866641e-15,1.3010426069826053e-14,-5.44811591673966e-15,1.3010426069826053e-14,3.465835328621786e-15,9.421716878898994e-15,1.734723475976807e-14,5.618160099356104e-15,1.1037395526490067e-14,1.8614523087951666e-14,3.5137800614033245e-13,1.4687429938931016e-12,1.1415068001952022e-11
1.27,-1.0588126392559852e-14,1.0603895955820608e-14,1.6479873021779667e-14,1.734723475976807e-14,1.9949319973733282e-14,-1.9949319973733282e-14,5.231275482242559e-15,1.1088693810486579e-14,1.734723475976807e-14,2.211772431870429e-14,1.1598370360026639e-14,1.7639918230924547e-14,2.3086140286907954e-14,3.654685935296795e-13,1.5199248082353732e-12,1.3427779776975512e-11
1.275,-7.22174927031989e-15,7.285614213593607e-15,1.214306433183765e-14,1.734723475976807e-14,2.5587171270657905e-14,-2.5587171270657905e-14,5.637851296924623e-15,7.73793427725826e-15,1.3877787807814457e-14,3.122502256758253e-14,8.22517220316813e-15,1.4640121485814645e-14,3.2310600428721614e-14,2.8969519131845606e-13,1.2298670526433835e-12,1.2288182915654033e-11
1.28,1.5733178837585866e-15,2.872894386220351e-15,8.673617379884035e-15,1.5612511283791264e-14,2.42861286636753e-14,-2.168404344971009e-14,2.42861286636753e-14,3.4718740701085435e-15,1.0842021724855044e-14,3.165870343657673e-14,5.0736130144914374e-15,1.3446856123977388e-14,3.852260489961821e-14,2.446032681591364e-13,9.182826943288077e-13,1.069837196610024e-11
1.285,1.4077906605078426e-14,1.4181713956883354e-14,2.5153490401663703e-14,3.1957943236182754e-14,4.683753385137379e-14,-1.0842021724855044e-14,4.683753385137379e-14,1.490401180426389e-14,2.862293735361732e-14,6.028164079019405e-14,1.601595671462305e-14,3.009369995316982e-14,6.794711315296717e-14,2.5754686334336996e-13,9.879272511170707e-13,9.295035852119327e-12
1.29,2.795138102611663e-14,2.796110737805977e-14,4.5102810375396984e-14,5.551115123125783e-14,6.852157730108388e-14,-4.228388472693467e-15,6.852157730108388e-14,2.9275474550824775e-14,5.0306980803327406e-14,8.500145032286355e-14,3.02645164637004e-14,5.247904320256556e-14,9.242104955203236e-14,3.6508617530477095e-13,1.3303633750183484e-12,1.5835212252568455e-11
1.295,3.908636887478111e-14,3.9094682760173685e-14,6.418476861114186e-14,7.45931094670027e-14,8.239936510889834e-14,-4.119968255444917e-15,8.239936510889834e-14,4.106407235610221e-14,6.938893903907228e-14,9.71445146547012e-14,4.2198111059424133e-14,7.335717332761787e-14,1.0727932590149059e-13,5.511787895049522e-13,2.1246933101792767e-12,2.73166733677499e-11
1.3,1.931502415625007e-14,1.9360902500158344e-14,3.209238430557093e-14,3.729655473350135e-14,4.336808689942018e-14,-7.426784881525705e-15,4.336808689942018e-14,2.0325635033518716e-14,3.5561831257524545e-14,5.0306980803327406e-14,2.1776247249965576e-14,3.7185875964450616e-14,5.719837623838479e-14,5.513518741532958e-13,2.28787087053206e-12,2.385331754339859e-11
