roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,1.635,971,7.892478187476817e-14,8.164042358815848e-14,9.90960785651751e-14,7.924233810324899e-14,8.201989434852841e-14,9.90960785651751e-14,1.5060656143650255e-13,4.817550802727055e-13,1.5081127457960974e-12
central_xz_radius_25mm,1.64,971,1.1967381149737888e-13,1.209969624493823e-13,1.3986208025063007e-13,1.194780744831289e-13,1.209969624493823e-13,1.3975366003338152e-13,1.3605706514513972e-13,4.319389290685649e-13,2.0490915630944074e-12
central_xz_radius_25mm,1.645,971,1.4460219874973972e-13,1.4728886513215578e-13,1.6469031000054812e-13,1.4386793371510896e-13,1.4718044491490723e-13,1.6479873021779667e-13,1.2758569392648603e-13,4.008597898064181e-13,1.6625563148409129e-12
central_xz_radius_25mm,1.65,971,1.496056075395518e-13,1.5287250632045613e-13,1.6544925152128798e-13,1.4883684008769158e-13,1.5298092653770468e-13,1.6566609195578508e-13,1.4255144724555125e-13,4.53610482509248e-13,1.9583694665925576e-12
central_xz_radius_25mm,1.655,971,1.3129180263497212e-13,1.3552527156068805e-13,1.5048726154098802e-13,1.3154403875316416e-13,1.3769367590565906e-13,1.5070410197548512e-13,1.9722241187703316e-13,5.056222107668873e-13,2.375372787355445e-12
central_xz_radius_25mm,1.66,971,9.312040505683391e-14,9.993633524885137e-14,1.0516761073109393e-13,9.471187092340815e-14,1.0408340855860843e-13,1.2175590397012215e-13,2.2585173004025126e-13,5.321680873748846e-13,3.019749783561565e-12
central_xz_radius_25mm,1.665,971,3.9601238043613306e-14,4.5319650809894085e-14,5.0090140368830305e-14,4.1604276434160934e-14,5.136407792150077e-14,7.491837011874836e-14,1.9593937640719822e-13,4.95617769047385e-13,2.235651663795579e-12
central_xz_radius_25mm,1.67,971,2.886121618328612e-14,3.2065279251258794e-14,3.469446951953614e-14,2.7598360717703107e-14,3.176712365382528e-14,3.480288973678469e-14,1.2937657399231142e-13,3.894768951795413e-13,2.4922428565332667e-12
central_xz_radius_25mm,1.675,971,1.0693661330768382e-13,1.100465205072787e-13,1.2096985739507016e-13,1.0683966598160138e-13,1.1020915083315153e-13,1.208614371778216e-13,1.2543011760257263e-13,3.820872507276363e-13,1.7349748304695821e-12
central_xz_radius_25mm,1.68,971,1.845470373222182e-13,1.915920764053447e-13,2.1299151678477735e-13,1.8375320258017026e-13,1.9075181972166844e-13,2.129644117304652e-13,1.431164791894301e-13,4.1049474930332507e-13,1.0930527594155136e-12
central_xz_radius_25mm,1.685,971,1.4006613580883989e-14,1.734723475976807e-14,2.2605615296322767e-14,1.2382962206975148e-14,1.656118818471608e-14,1.9380113833178392e-14,9.303381591826836e-14,2.755218275751759e-13,9.225686881109141e-13
central_xz_radius_25mm,1.69,971,1.9750177381083653e-14,2.256495771485456e-14,2.4990860075790877e-14,2.092476695404568e-14,2.507217523872729e-14,3.119791751327039e-14,7.958380767528598e-14,2.3730351017547947e-13,9.1455376605154e-13
central_xz_radius_25mm,1.695,971,4.665209731605399e-14,4.8734887653223424e-14,5.44811591673966e-14,4.686195910628947e-14,4.971066960846038e-14,5.5077470362263625e-14,9.599333526258759e-14,2.6299895594661393e-13,9.741540907270973e-13
central_xz_radius_25mm,1.7,971,6.049691800837655e-14,6.209767942910727e-14,7.302101631689872e-14,6.038146331771228e-14,6.209767942910727e-14,7.28583859910259e-14,1.122417664018872e-13,3.6152414395473894e-13,1.0935536920442246e-12
central_xz_radius_25mm,1.705,971,6.143629935514488e-14,6.418476861114186e-14,7.546047120499111e-14,6.153534027450581e-14,6.472686969738461e-14,7.535205098774256e-14,1.211400495878126e-13,3.655031832749955e-13,1.9273329598945565e-12
central_xz_radius_25mm,1.71,971,4.954535948319109e-14,5.204170427930421e-14,6.25584653524136e-14,4.9764544742160097e-14,5.3613797429408194e-14,6.25584653524136e-14,1.304496055746546e-13,4.457092472875956e-13,1.4397301129065454e-12
central_xz_radius_25mm,1.715,971,2.422773136849405e-14,2.5153490401663703e-14,2.7538735181131813e-14,2.4279540823492327e-14,2.5804011705155006e-14,3.144186300207963e-14,1.2688684477766462e-13,4.656044438888784e-13,3.0022420105524363e-12
central_xz_radius_25mm,1.72,971,1.5207973233233594e-14,1.6696713456276768e-14,1.962405932198763e-14,1.5441897388883143e-14,1.734723475976807e-14,2.233456475320139e-14,1.5587680179688512e-13,5.387370549669868e-13,3.020659278263338e-12
central_xz_radius_25mm,1.725,971,6.437838411753629e-14,6.797947621484113e-14,7.524363077049401e-14,6.499384471225721e-14,7.036472099430924e-14,7.502679033599691e-14,2.2249548856258636e-13,7.393055057036691e-13,3.872173692798242e-12
