roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,0.725,971,6.236066089283683e-05,6.654460722700043e-05,0.0010731751197679516,6.219657486133516e-05,6.746257864679878e-05,0.001044660558991578,0.04811885554014055,0.3227420761167268,1.4667093273275154
central_xz_radius_25mm,0.75,971,5.843563306500356e-05,6.155783460553253e-05,0.0011235837705098062,5.781366868760763e-05,6.157568244180567e-05,0.0010944243659127308,0.05078809867544199,0.34130130301933104,1.5471821007656439
central_xz_radius_25mm,0.775,971,3.6103371146911574e-05,4.1723960976991145e-05,0.0011697488686646454,3.5346090342494685e-05,4.2614583633995146e-05,0.0011370705455563887,0.0543820183183194,0.36538678839433825,1.656484965722297
central_xz_radius_25mm,0.8,971,6.375283108247305e-05,6.770517442500866e-05,0.0012384830945406933,6.33741842528669e-05,6.870990903063562e-05,0.001205494301560403,0.05592634951507058,0.37534625989802817,1.7039805960640941
central_xz_radius_25mm,0.825,971,0.00011797787195250999,0.00012098480473682859,0.0012967437975309679,0.00011727729851933717,0.00012234711982525744,0.0012627849996938584,0.05626511024493684,0.37804167337710826,1.7145908830135086
central_xz_radius_25mm,0.85,971,0.00010678119096952702,0.00011102057551688922,0.0013000231323919212,0.0001060792030896118,0.00011213849212578231,0.0012671080974044,0.0569387199031371,0.38256726897245336,1.7346281483345274
central_xz_radius_25mm,0.875,971,7.128990745574924e-05,7.617332688399092e-05,0.0013199008909638849,7.084557035936474e-05,7.629430363214132e-05,0.001284900330619787,0.05957203013083611,0.39972485692890203,1.8139451137002363
central_xz_radius_25mm,0.9,971,0.00015218483794371995,0.0001560852765406743,0.0014774388051473283,0.0001515922554614536,0.00015735993196160092,0.0014399725742080156,0.06317037931984164,0.42439707214433,1.926678642218465
central_xz_radius_25mm,0.925,971,7.487854804635484e-05,7.96005930599284e-05,0.0014239030519747412,7.408450398074543e-05,7.931692235234496e-05,0.001385554805931246,0.06450226080769256,0.4335469127682657,1.9647356502829938
central_xz_radius_25mm,0.95,971,6.301288439572445e-05,6.931674138409977e-05,0.0014078262360146462,6.231412560246301e-05,6.940898643922715e-05,0.00136983315362528,0.06416743899269581,0.43095893895253334,1.9540904366070067
central_xz_radius_25mm,0.975,971,0.0001274536015069758,0.00013191107110788192,0.0015044765930946787,0.00012639834790197302,0.0001322608291437835,0.0014655832123078479,0.06571325507121357,0.44062497204620765,2.0022392748077373
