time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
0.8,6.117175746562209e-05,0.00012539083409649816,0.0005312636206360476,0.001418377215166208,0.004169450897967882,-0.0017948200696197181,0.004169450897967882,0.0001506498700858436,0.0006859154473693824,0.004408295874287977,0.00024265088827550856,0.0007770949266436985,0.006337798091479168,0.025979943685519,0.07424316544583898,1.7039805960640941
0.825,0.00010119725447385835,0.00015779794678351768,0.0005513750614449568,0.001432488912806443,0.0042324380607738086,-0.0018142809238139894,0.0042324380607738086,0.00017840557128691076,0.0006929955958488273,0.004476677493567109,0.00027456455896335345,0.0007988249872898278,0.006427626471494178,0.026199386444578344,0.07483484533794837,1.7145908830135086
0.85,9.381118282196796e-05,0.0001536438854341074,0.000561384485628656,0.0014695521959070936,0.004326069646324487,-0.0018539490008867283,0.004326069646324487,0.00017559512350169066,0.0007170543449891979,0.004573153671587945,0.0002684626998606293,0.0008158708990370513,0.006558361710657271,0.0265902901191306,0.07613322642559284,1.7346281483345274
0.875,6.802457644499619e-05,0.0001364585380658175,0.000570143364885726,0.0015300531945538283,0.004496355252331234,-0.0019332636768940091,0.004496355252331234,0.00016337803510383495,0.0007253995304519267,0.004747674169755816,0.000250831573839611,0.0008389274883885848,0.006821569634510158,0.027766021737634563,0.07920968528484278,1.8139451137002363
0.9,0.00012481189661918044,0.00018606887312469834,0.0006076615327611489,0.0015802418928099861,0.004690030774921061,-0.002011101931114894,0.004690030774921061,0.00020902180272053877,0.0007719226402416885,0.004957824098450329,0.0002860536090065311,0.0008791204010951801,0.007120805811382296,0.029308132243202934,0.08378903380564952,1.926678642218465
0.925,7.347352559697971e-05,0.0001460496931955105,0.000616121456879976,0.001632699420354791,0.0048042440731766445,-0.002066587124497813,0.0048042440731766445,0.00017433015840925625,0.0007905311078316858,0.005079794117513402,0.0002833457840276811,0.0008973516905107252,0.007301402534726714,0.029950749062453475,0.08556442704327422,1.9647356502829938
0.95,6.438791254531578e-05,0.000140417255924723,0.0006227949598633374,0.0016561967218553,0.004860559377213093,-0.0020899237093215833,0.004860559377213093,0.00017052613016141374,0.000804340670031307,0.0051349877427001945,0.0003000233248389193,0.0009086181865538163,0.007378143487907192,0.029940765145235044,0.08564977930543441,1.9540904366070067
0.975,0.00011171577917197126,0.00017962248611679368,0.0006434675981320093,0.001687915705378845,0.004970014773152077,-0.002129432993246258,0.004970014773152077,0.0002044842022625245,0.0008199842832130003,0.0052518264766311185,0.00030708818063412047,0.0009347526888750789,0.007535440512098565,0.03064523686348695,0.08746244550617761,2.0022392748077373
1.0,8.353314266644679e-05,0.0001599191386407122,0.0006615464665979255,0.0017526491065239253,0.005159217551179134,-0.00221675859257578,0.005159217551179134,0.00018984863244977672,0.0008551074143310934,0.005456072938256058,0.00028795648768478266,0.0009673825337067945,0.007833896767781835,0.0319542634095951,0.09159597627259765,2.0910352164151083
1.025,-5.593631063011789e-05,0.00018841175808514474,0.0006830847078692979,0.001754408600509825,0.005263218154746526,-0.0022802095751116714,0.005263218154746526,0.0002301237154993184,0.0008755723959147452,0.005541376472680307,0.0003182000487653382,0.001010410713204572,0.0079981362257074,0.033123106120611256,0.09442624864089096,2.1749530019861836
1.05,0.00010019018815809165,0.00017460960905652388,0.0006717330617016775,0.001764914495445968,0.005192569168389286,-0.0022309099616844375,0.005192569168389286,0.00020322737330249327,0.0008596427066611928,0.005493358050331215,0.00032072824906018816,0.0009867971574389252,0.007897666892976073,0.032557380251281805,0.09268024168004592,2.143598141808587
1.075,0.00017610337902639216,0.00023792623165354692,0.0006705455259551039,0.001702161163720915,0.005071523449170015,-0.002168715698355273,0.005071523449170015,0.00026096455911561164,0.0008534529405502437,0.005369086005750558,0.00035818270016634024,0.0009518864147933769,0.0076880204896581355,0.030893946709788678,0.08937475438458913,2.0054182259957227
1.1,0.0002213737041695495,0.00027732264716528185,0.0006899311813493514,0.001706007670581799,0.005071285733683234,-0.0021575963538494132,0.005071285733683234,0.0003001092745285972,0.0008532874633802407,0.00536786154255452,0.0003745262566466141,0.0009753417994745597,0.007680913047912785,0.03100006422859315,0.0892262549021377,2.014159962040629
1.125,0.00010638280044741477,0.00017997860596680423,0.0006553422423369137,0.001766229549602483,0.0051933528911099315,-0.002234528043207893,0.0051933528911099315,0.0002083506084071549,0.0008486771231600534,0.005477654618269193,0.00029596305313602265,0.0009680685339504197,0.00788018797446878,0.03257535260744332,0.09239113987915139,2.1454998704066273
1.15,0.00017865836405204884,0.00024103763821242203,0.000699088714606984,0.0017716047245875863,0.005279804033170896,-0.0022621829660343586,0.005279804033170896,0.0002638738748732687,0.000880454103871697,0.0055969296685919115,0.0003484497020455523,0.0010079963391030587,0.008035532069808306,0.03297750880960673,0.0950580650462294,2.1635862826502272
1.175,0.00011321142821147475,0.0001852528960450914,0.0006671744580902552,0.0017502900613407509,0.005161181901428761,-0.0022128725890219244,0.005161181901428761,0.00021254167100685269,0.0008499591460812092,0.005461364291389813,0.0003316254910565377,0.0009819637298820272,0.00784267345593553,0.03207390013273574,0.09139924193214319,2.1039745372484586
1.2,0.0002893724035026618,0.00033903349257918456,0.0007299865560659704,0.0017427345456746013,0.0050521877115096035,-0.002143841856816974,0.0050521877115096035,0.0003607966390131449,0.0008663651514267547,0.005341103882488185,0.00043757128451041354,0.0009815940010884337,0.007646732084216336,0.030906060618818617,0.08838424512379196,2.0064813075733423
1.205,9.013033201010552e-05,0.0001628971936539746,0.0006425603658316691,0.0017123430030570488,0.005032690427988573,-0.002156588888900762,0.005032690427988573,0.00019035744894248865,0.0008277589094850049,0.005310956283828398,0.0003117814905524363,0.0009391657036070621,0.00762195405045038,0.0307551828790528,0.08836758539813092,2.0008809301457933
1.21,0.00021929911030174476,0.0002747560793152937,0.0006836002516553199,0.001692881056203775,0.005046320082217952,-0.0021455260946556063,0.005046320082217952,0.0002964406673570892,0.0008569590279982305,0.005339986793981635,0.00037791265187642745,0.0009707872689621053,0.007643323206114158,0.030774701963494223,0.0887163279695019,1.9992159354972656
1.215,2.286746667444942e-05,0.00012658620566645718,0.0006461263557565865,0.0017126797836319052,0.005043220919604536,-0.0021668443020057566,0.005043220919604536,0.00016389448232611878,0.0008205508954986172,0.005328221967396423,0.0002929235778542178,0.0009495852304877077,0.007645342399813317,0.03082742888679872,0.08876595809415423,2.0042420855185292
1.22,0.0001411389358371686,0.0002063160281954955,0.0006585823990748706,0.0017157647988793345,0.005074147109609988,-0.0021683334434570737,0.005074147109609988,0.00022986694412360857,0.0008458298261018399,0.005371366425742775,0.00032009386999293216,0.0009542347267328046,0.007691636797276774,0.03099661717077976,0.0892918525684567,2.017386634663053
1.225,0.0001803038284226073,0.00024151050449458457,0.0006681218590686294,0.001712752221544847,0.005101327374039042,-0.0021797189362700482,0.005101327374039042,0.0002647033536303981,0.0008468417912678376,0.005404404640552054,0.0003426541062664986,0.0009676676104714149,0.007733438102968212,0.031235466207787745,0.09005150209590153,2.0342412793660243
1.23,9.054982754385736e-05,0.0001654264993908347,0.000653448745598257,0.0017415635740101905,0.00512557351965885,-0.0022011505385433157,0.00512557351965885,0.00019467156051929517,0.0008415552614540934,0.005425684021942261,0.000289229457559586,0.0009656138843399927,0.007779054754732856,0.0315355837852193,0.09043588628891418,2.0582887762500253
1.235,9.445542053838747e-05,0.00016925129904178071,0.0006584685840812861,0.0017527372976220788,0.005155228122473996,-0.002216797922775034,0.005155228122473996,0.0001987357762347198,0.00084360354146969,0.005458294356154537,0.00028840899927924944,0.0009650026400339382,0.007828717014706587,0.03186932644337149,0.0914955358229143,2.0836078097923934
1.24,9.812775411910632e-05,0.00017219458354106098,0.0006607237628664625,0.0017593187456606616,0.005187017096884973,-0.0022291778205963775,0.005187017096884973,0.00020159962409933924,0.0008483937872164675,0.005491181012196327,0.00029003758333790005,0.0009641984748519987,0.007883021288024117,0.03222034048569487,0.092526458872439,2.1104315604719637
1.245,7.298502515724775e-05,0.00015376404703641938,0.0006606436043330492,0.001772668513357403,0.005212506462135485,-0.002245662037658584,0.005212506462135485,0.00018645824351416084,0.0008447280851714018,0.005512964360572732,0.0002793365583445413,0.0009744447149072836,0.007922509768366405,0.03253845243467442,0.09330067053124767,2.134956461206777
1.25,0.00014162531292704754,0.0002030160814739601,0.0007139157359438874,0.001739453671664974,0.005281544008013108,-0.0022249554415029304,0.005281544008013108,0.00022573701176637119,0.0008816290602257131,0.005595878775624483,0.0003171815085841423,0.0009988470361637948,0.008015608446839899,0.03291299699769329,0.09407460513524313,2.1581771724373446
1.255,-5.149836617924687e-05,0.00017548018924378614,0.0006939649121528033,0.0017155814365149885,0.005273994580654923,-0.0023201197536285,0.005273994580654923,0.0002121386040984287,0.0008547556052538593,0.005540009832578387,0.0002954987020219663,0.000997730663148211,0.008000737694654153,0.033180719176171006,0.09498764027185289,2.177680025275743
1.26,0.0002607977232324306,0.000312303007980568,0.0007781440462008948,0.0018458617819448351,0.0054462544626448185,-0.002303160281049983,0.0054462544626448185,0.0003315957223503496,0.0009625705008614939,0.005753799148088467,0.0004081532938193114,0.0010624268560215965,0.008230774309531704,0.03365593100874203,0.09512766925890676,2.1990609094821387
1.265,0.00019668103368310124,0.00026215307489929184,0.0007269893250690272,0.0019117601645599557,0.005582504263869771,-0.0023953517567423116,0.005582504263869771,0.0002872516980600854,0.0009059376965614812,0.005873866259243038,0.0003676804803477437,0.0010434410027289874,0.00840351787350478,0.03417959910520402,0.09819552298143205,2.2235972521997502
1.27,-0.00023019673649906657,0.0003437661274509925,0.0008525556232174144,0.0018872661674498585,0.005797337846569444,-0.0026490221268177065,0.005797337846569444,0.00038763159875451606,0.0010143922221906253,0.006063450246622049,0.0004568926746217504,0.0011715824735517451,0.00869968079135287,0.03521984978782803,0.1008962183044867,2.2631191049983075
1.275,-0.00023827423198983686,0.00036442660812030937,0.0009131359403176607,0.0020530501231248604,0.006100406715117083,-0.0027196748064984254,0.006100406715117083,0.0004140707516930677,0.00108870038727102,0.006394653718779365,0.0004888474939403188,0.0012651038190699328,0.009146949331156014,0.03645909211432683,0.10765709908727294,2.324825306727345
