"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa"
"softskin","1.8","2776","6.717376","11.164525","-6.660248","6.660248","-11.164525","0","0.916914","3.733087"
"softskin","1.805","2776","7.72883","12.900407","-7.663011","7.663011","-12.900407","0","1.056188","4.267779"
"softskin","1.81","2776","8.65715","14.477715","-8.583506","8.583506","-14.477715","0","1.183746","4.777591"
"softskin","1.815","2776","9.485482","15.854114","-9.405027","9.405027","-15.854114","0","1.296532","5.262114"
"softskin","1.82","2776","10.234008","17.067659","-10.147536","10.147536","-17.067659","0","1.397333","5.723094"
"softskin","1.825","2776","10.884434","18.07813","-10.792916","10.792916","-18.07813","0","1.483401","6.148377"
"softskin","1.83","2776","11.428885","18.877361","-11.333419","11.333419","-18.877361","0","1.553927","6.523447"
"softskin","1.835","2776","11.883281","19.509081","-11.784854","11.784854","-19.509081","0","1.611892","6.84937"
"softskin","1.84","2776","12.244461","19.981295","-12.144186","12.144186","-19.981295","0","1.657607","7.12266"
"softskin","1.845","2776","12.518594","20.319492","-12.417584","12.417584","-20.319491","0","1.692329","7.346861"
"softskin","1.85","2776","12.712094","20.535177","-12.611439","12.611439","-20.535175","0","1.716695","7.524242"
"softskin","1.855","2776","12.82682","20.629247","-12.727538","12.727538","-20.629246","0","1.730351","7.651075"
"softskin","1.86","2776","12.860328","20.596403","-12.763274","12.763274","-20.596401","0","1.732565","7.717072"
"softskin","1.865","2776","12.810299","20.433344","-12.716153","12.716153","-20.433342","0","1.723107","7.715039"
"softskin","1.87","2776","12.678318","20.145546","-12.58761","12.58761","-20.145544","0","1.702483","7.647183"
"softskin","1.875","2776","12.469449","19.746548","-12.382539","12.382539","-19.746546","0","1.671734","7.517375"
"softskin","1.88","2776","12.191012","19.253973","-12.108068","12.108068","-19.25397","0","1.632172","7.330142"
"softskin","1.885","2776","11.851622","18.685677","-11.772605","11.772605","-18.685673","0","1.585077","7.095058"
"softskin","1.89","2776","11.460612","18.057806","-11.385303","11.385303","-18.057801","0","1.531624","6.825503"
"softskin","1.895","2776","11.027881","17.384625","-10.955946","10.955946","-17.38462","0","1.473015","6.535519"
"softskin","1.9","2776","10.563763","16.678594","-10.494846","10.494846","-16.678589","0","1.410569","6.237397"
"softskin","1.925","2776","8.133621","12.971022","-8.079111","8.079111","-12.971021","0","1.084137","4.920531"
"softskin","1.95","2776","6.517345","9.966376","-6.483822","6.483822","-9.966376","0","0.853815","4.156024"
"softskin","1.975","2776","6.5797","9.542813","-6.548386","6.548386","-9.542807","0","0.86237","4.310722"
"softskin","2","2776","8.244892","12.484362","-8.199921","8.199921","-12.484324","0","1.087169","5.198782"
"softskin","2.025","2776","10.555161","17.053579","-10.481617","10.481617","-17.053579","0","1.41807","6.16988"
"softskin","2.05","2776","12.348738","20.291329","-12.247034","12.247034","-20.291329","0","1.670888","7.120822"
"softskin","2.075","2776","12.738397","20.445136","-12.641503","12.641503","-20.445135","0","1.718414","7.612449"
"softskin","2.1","2776","11.283525","17.720366","-11.208402","11.208402","-17.720362","0","1.512694","6.881375"
"softskin","2.125","2776","8.736212","13.734895","-8.679313","8.679313","-13.734891","0","1.158563","5.192855"
"softskin","2.15","2776","6.730467","10.484783","-6.693713","6.693713","-10.484781","0","0.88085","4.130856"
"softskin","2.175","2776","6.426598","9.581753","-6.397879","6.397879","-9.581746","0","0.84273","4.234563"
"softskin","2.2","2776","7.697002","11.494311","-7.65274","7.65274","-11.49431","0","1.015312","4.918797"
